text,created_at
@DMC_Ryan @C_R_H_M @Tesla Cybertruck doesn’t need a garage,2021-01-16T01:31:57.000Z
@DMC_Ryan @Tesla It will be awesome,2021-01-16T01:29:50.000Z
@owenshift Good point,2021-01-16T01:28:33.000Z
@signalapp Your server-side code is doing too much,2021-01-16T01:20:44.000Z
@Wikipedia Happy birthday Wikipedia! So glad you exist.,2021-01-15T22:07:36.000Z
@TheOnion Guess you been watching Cobra Kai,2021-01-15T22:01:57.000Z
@SuperclusterHQ @w00ki33 Fallout New Texas,2021-01-15T09:24:47.000Z
@Breedlove22 @benmezrich Only Chuck Norris can divide by zero,2021-01-15T08:23:28.000Z
@Cerberu21014829 @Breedlove22 @benmezrich Good point,2021-01-15T08:18:10.000Z
@Breedlove22 @benmezrich The thing we call money is just an information system for labor allocation. What actually matters is making goods &amp; providing services. We should look at currencies from an information theory standpoint. Whichever has least error &amp; latency will win.,2021-01-15T07:12:06.000Z
Monty Python is amazinghttps://t.co/UJq94IWT88,2021-01-15T06:44:22.000Z
@RationalEtienne @tobyliiiiiiiiii @Erdayastronaut They sure can twist the knife in that show!,2021-01-15T06:06:26.000Z
@tobyliiiiiiiiii @Erdayastronaut Probably wise,2021-01-15T05:53:28.000Z
@Erdayastronaut We’re making major improvements to ease of engine swap. Needs to be a few hours at most.,2021-01-15T05:47:34.000Z
@PPathole @johnkrausphotos @SpaceX Two of the engines need slight repairs  so will be switched out,2021-01-15T05:41:21.000Z
@johnkrausphotos @SpaceX Nice shot,2021-01-15T05:21:33.000Z
@realOmarAbdalah We don’t have high school internships  but please apply when you’re in college!,2021-01-15T05:17:06.000Z
@skorusARK Prototypes are easy  volume production is hard  positive cash flow is  excruciating,2021-01-14T20:40:40.000Z
@Tesla Physics,2021-01-14T05:03:35.000Z
RT @SpaceX: Splashdown of Dragon confirmed  completing SpaceX’s 21st @Space_Station resupply mission and the first return of a cargo resupp…,2021-01-14T03:51:19.000Z
@Erdayastronaut Detanking &amp; inspections now. Good progress towards our “Hop in &amp; go to Mars!” goal.,2021-01-13T22:07:08.000Z
All three static fires completed &amp; no RUDs!,2021-01-13T21:47:02.000Z
@justpaulinelol @Erdayastronaut @SpaceX Wow  a lot has happened in 10 years!,2021-01-13T21:43:54.000Z
@OfficialJlipper Fair enough haha,2021-01-13T21:25:02.000Z
https://t.co/ho7yGXAS3a,2021-01-13T21:20:05.000Z
@NASASpaceflight Sea shanty tiktok takes it to a new level with actual pirate ships,2021-01-13T20:53:57.000Z
@ConnectDotsToo Sure,2021-01-13T20:47:34.000Z
Today at SpaceX is about practicing Starship engine starts. Ship is held down by massive pins while engines are fired. Two starts completed  about to try a third.,2021-01-13T19:06:00.000Z
@Tesmanian_com As promised,2021-01-13T14:48:38.000Z
Legalize comedy,2021-01-13T09:25:42.000Z
@lvladimirovBG You can steal our name/logos &amp; we probably won’t sue you,2021-01-13T08:04:02.000Z
@arstechnica @SciGuySpace We’re just trying to get people to Mars. Help would be appreciated.,2021-01-13T02:52:38.000Z
@SpaceX @Space_Station One day  we will get a camera up there that also shows the star field in the background,2021-01-13T01:30:00.000Z
RT @SpaceX: Separation confirmed! Dragon performing 3 departure burns to move away from the @Space_Station https://t.co/G27ohWvnXj,2021-01-13T01:25:16.000Z
@lexfridman Suicide is more than double homicide https://t.co/MvWGPs9uQE,2021-01-13T00:26:12.000Z
@lexfridman Absolutely,2021-01-13T00:23:56.000Z
Hey you …Yeah you Queen …You’re gonna make it! 💕💕 https://t.co/LrqdIrbIyd,2021-01-12T23:02:33.000Z
@TheOldManPar @DJSnM @MachinePix Hate to say it  but might be true,2021-01-12T21:06:03.000Z
@MachinePix The robot future is coming,2021-01-12T20:19:20.000Z
@wonderofscience @physicsJ 300km every millisecond  but there are times I wish it were faster,2021-01-12T20:10:00.000Z
https://t.co/TKkruvgBth https://t.co/ocy2gFRYvN,2021-01-12T11:55:35.000Z
@iamdevloper https://t.co/BkKeiIicYe,2021-01-12T11:30:39.000Z
Mus protec 👶 yoda https://t.co/1dvhG0nTkU,2021-01-12T11:24:55.000Z
@roscosmos Он был великолепен,2021-01-12T10:59:34.000Z
@RationalEtienne @TheBabylonBee This is an important distinction,2021-01-12T02:46:41.000Z
@ValaAfshar Much more than this &amp; increasing rapidly,2021-01-11T22:49:05.000Z
@CodingMark @flcnhvy It is,2021-01-11T22:35:37.000Z
@archillect Once in a while  something happens that is even better than we imagined,2021-01-11T19:51:17.000Z
@skorusARK The factory is the product,2021-01-11T19:41:29.000Z
@AustinTeslaClub @TheBabylonBee Probably commenting on @signalapp will do more,2021-01-11T17:54:40.000Z
@PPathole I bought the replacement glass from a junkyard for $20. They’re great places to get spare parts.,2021-01-11T17:53:16.000Z
@TheBabylonBee A lot of people are going to be super unhappy with West Coast high tech as the de facto arbiter of free speech,2021-01-11T17:50:04.000Z
@alexandersibert @signalapp Already donated to Signal a year ago. Will donate more.,2021-01-11T05:46:40.000Z
@benmezrich I am primarily trying to advance two causes: sustainable energy &amp; extending life/consciousness beyond Earth. There is also the existential threat of AI  which we should aspire to mitigate. This doesn’t leave time to write books.,2021-01-10T04:41:27.000Z
@song_wooseok @GerberKawasaki @benmezrich 🤣🤣,2021-01-10T04:25:00.000Z
@Ragazaga5 @SpacePadreIsle Maybe a Tesla AI day later this year,2021-01-09T23:07:51.000Z
@SpacePadreIsle The Prancing Pony?,2021-01-09T23:05:48.000Z
@BoredElonMusk 🤣🤣,2021-01-09T21:21:58.000Z
@erigganewmoney 😢,2021-01-09T20:44:06.000Z
@mayemusk It’s true,2021-01-09T19:00:52.000Z
@glenn22x @woketopiansa Yes  but not for long,2021-01-09T18:59:40.000Z
@woketopiansa Yeah  they seemed optimistic too,2021-01-09T18:56:53.000Z
My 14-year-old son  Saxon  said he feels like 2021 will be a good year. I agree. Let us all make it so.,2021-01-09T18:47:06.000Z
@Erdayastronaut @SpaceX Was also thinking that SpaceX Boca should hold fun parties and give tours for the community from time to time,2021-01-09T18:44:47.000Z
@Erdayastronaut @SpaceX I super support public spaces around our production &amp; launch sites  wherever it can be done safely and securely. When covid passes  we will open up our restaurant to the public &amp; figure out ways to allow limited access to the High Bar.,2021-01-09T18:43:32.000Z
@Christo49699922 @sean18743005 @Erdayastronaut @SpaceX That too,2021-01-09T18:39:42.000Z
@sean18743005 @Erdayastronaut @SpaceX Catapult high into the air &amp; land on the roof with a base jumping parachute (the only way to travel),2021-01-09T18:37:09.000Z
@Erdayastronaut @SpaceX That’s actually our restaurant  but SpaceX is building a futuristic bar at the top of the high bay with 360 degree windows &amp; a glass floor looking down on the rocket factory,2021-01-09T18:35:29.000Z
@techreview And increase fun! Hopefully.,2021-01-09T18:26:33.000Z
@benmezrich Me neither,2021-01-09T17:28:51.000Z
@TonyChoMrMagic @TeslaEnergy One of the best Tesla Solar Roof installations,2021-01-09T17:10:44.000Z
@91demigod No  but maybe one day,2021-01-09T12:19:13.000Z
@PPathole @engineers_feed Yes  that would be the best way to do it. A large solar field or reactor is needed for power  and then some ice mining droids or long maneuvering drills are needed for the H2O. These are probably the trickier bits.,2021-01-09T10:50:47.000Z
@engineers_feed His sick beats https://t.co/8PbsgffzRp,2021-01-09T06:25:30.000Z
@flcnhvy Probably less than a few dozen primary decision-makers. Technically  only three.,2021-01-08T23:37:09.000Z
@Erdayastronaut @lexfridman Or at least the option for verification  so that the public can ascribe more credibility to verified vs unverified accounts,2021-01-08T15:36:52.000Z
Launch underway https://t.co/wbk7ZZ0Fqx,2021-01-08T02:15:39.000Z
Btw  critical feedback is always super appreciated  as well as ways to donate money that really make a difference (way harder than it seems),2021-01-08T01:35:53.000Z
@eugenelee3 @engineers_feed Yup,2021-01-07T22:33:14.000Z
@engineers_feed Indirectly  an electric rocket is possible by using electricity to convert CO2+H2O —&gt; CH4+O2. This will be needed on Mars even for early missions &amp; Earth too over time.,2021-01-07T22:30:35.000Z
@engineers_feed Not to get to orbit  unfortunately. In space  photon emission powered by matter-antimatter annihilation would rock  but that’s more of a long-term solution.,2021-01-07T22:27:28.000Z
@Teslarati @ResidentSponge This will be hard to make  as it isn’t like any other vehicle,2021-01-07T20:27:22.000Z
@4thFromOurStar Playing the long game,2021-01-07T20:25:36.000Z
@ashleevance True,2021-01-07T19:30:56.000Z
@ID_AA_Carmack I hope so. Wings don’t work on the moon at all and def not well on Mars. Also  no runways.,2021-01-07T19:27:44.000Z
@EricRWeinstein Hamiltonians have +2V the potential of Langrangians and a play!,2021-01-07T19:16:31.000Z
https://t.co/2ja38Z8MRE,2021-01-07T18:49:47.000Z
@teslaownersSV Well  back to work …,2021-01-07T15:33:02.000Z
@teslaownersSV How strange,2021-01-07T15:32:27.000Z
Use Signal,2021-01-07T12:56:10.000Z
@TheHackersNews Ya don’t say. Reminds me of this timeless classic … https://t.co/Gq1wayoTIr,2021-01-07T12:49:15.000Z
@UniverCurious Fast water with tiny rocks,2021-01-07T11:48:06.000Z
@flcnhvy Yes  and then Occam’s razor is actually third most likely,2021-01-07T10:30:27.000Z
As seen from an external observer  not the participants,2021-01-07T10:24:29.000Z
The most entertaining outcome is the most likely,2021-01-07T10:23:50.000Z
@PPathole Dumb and Dumber is a great movie tho,2021-01-07T05:29:46.000Z
This is called the domino effect https://t.co/qpbEW54RvM,2021-01-07T04:06:23.000Z
@Dtrford @austinbarnard45 @AlexSvanArt @ErcXspace @SpceEnthusiast @SpacexVision @TomDixonDesign @SpaceX @spaceXcentric Doesn’t quite illustrate true size difference. Starship payload volume &amp; mass are &gt;1000% that of Shuttle.,2021-01-05T03:41:04.000Z
Because of the large footprint  it may seem flat  but actually ranges up to 5 stories tall,2021-01-04T20:57:05.000Z
Snow falling on Giga Berlin https://t.co/eTXMtYp8hG,2021-01-04T20:26:11.000Z
